28214	338	4
661	4719	3
5800	1968	1
29639	1180	4
288	4135	1
101	7766	3
31276	6859	11
1296	4877	6
443	5226	11
771	8839	1
19055	8744	30
3204	6349	3
118	7856	7
614	2157	28
23337	7344	4
3818	5636	12
290	2399	6
232	9103	20
5274	3534	6
765	5434	4
21122	1449	18
3740	4099	3
3469	6430	5
143	1557	10
1793	4302	24
3629	5827	13
8165	7832	1
651	9528	10
706	1686	10
8839	5925	12
106	8835	33
24661	8418	1
3414	9572	2
4507	4467	8
122	1102	10
891	4819	7
186	9500	4
17341	4370	5
2	5989	16
3518	4201	0
136	8495	3
21496	1631	13
10095	9948	6
3558	6054	3
12	2928	19
4496	1779	2
135	1199	2
32	7607	18
101	2751	19
140	3756	4
9063	9802	13
1062	1657	4
23220	513	4
3295	5758	2
13887	419	10
3065	2186	12
885	3689	22
4377	7412	3
9	4588	3
31084	5785	2
414	5320	5
118	26	12
449	8536	15
101	1617	0
104	9881	10
14089	1480	8
12	6489	5
14101	2319	0
30494	5517	2
560	6539	2
8103	2827	3
4464	7995	2
58	9031	4
1041	6989	3
14617	3302	13
27493	3760	4
148	7671	10
141	1668	21
371	9935	2
21192	8132	16
3914	4090	1
4508	8775	1
2492	8238	1
181	613	11
205	3331	22
27905	564	6
174	2487	12
3302	5550	8
2879	9773	4
1093	4257	34
5986	4804	18
429	6216	3
24715	1275	3
9126	2224	10
